SUBURB,LOC_PID,Centroid_Latitude,Centroid_Longitude
BRIT BRIT,VIC343,-37.44800189811891,141.76879961016598
LAKE MUNDI,VIC1434,-37.50989891450819,141.0889266240983
BALLAPUR,VIC109,-35.97765190777778,142.7501426537037
CHANDLERS CREEK,VIC528,-37.35730465120537,149.2556204428572
HARROW,VIC1134,-37.18282008086663,141.63890564275542
GENOA,VIC970,-37.49883573906845,149.57692479378304
HEATH HILL,VIC1151,-38.24176206944827,145.70829455234482
ATHLONE,VIC80,-38.24956324776358,145.76944201063887
DRUMBORG,VIC790,-38.09338755223105,141.54578262135456
HOPETOUN,VIC1193,-35.70664760276595,142.373484827234
YANDOIT HILLS,VIC2904,-37.2132348038835,144.05476491766984
CHINKAPOOK,VIC552,-35.193947968961055,142.9571047035065
WHITTINGTON,VIC2777,-38.17349749833335,144.3913779588461
JUNCTION VILLAGE,VIC1271,-38.137690822,145.2920118872
GLENPATRICK,VIC1034,-37.146382360454524,143.33301437123964
SUTTON,VIC2405,-35.736588139411765,142.9881251835294
WERRIBEE SOUTH,VIC2754,-37.95593412845186,144.7097107012819
KEILOR,VIC1309,-37.724855470379396,144.83632612142256
YANDOIT,VIC2903,-37.198220787014115,144.1071991362535
WINCHELSEA SOUTH,VIC2805,-38.32685153627451,143.9847970058824
TUNGAMAH,VIC2589,-36.16717265444446,145.87483348037034
WOODGLEN,VIC2838,-37.7780410384058,147.38698421
EAGLE POINT,VIC817,-37.89147406046392,147.69517316537315
NEWCOMB,VIC1921,-38.15935955153194,144.39705783931907
PARK ORCHARDS,VIC2032,-37.782902964234374,145.19838099950132
COOMBOONA,VIC624,-36.26730342830946,145.33276467992837
KOONDROOK,VIC1378,-35.65059239381257,144.15390795522336
YANAKIE,VIC2901,-38.806541741906045,146.21418159961323
GHERANG,VIC979,-38.31194057710524,144.09895700570172
COHUNA,VIC601,-35.75026182176594,144.28878433771618
BURKES BRIDGE,VIC414,-35.82793925384757,144.37140669275186
POREPUNKAH,VIC2098,-36.69121334944161,146.9056286368527
ALBACUTYA,VIC15,-35.73797930727026,141.9448793667626
SOUTH DUDLEY,VIC2312,-38.59339092571429,145.57464820942857
DALYSTON,VIC704,-38.55854970334004,145.5267010158953
WEST CREEK,VIC2758,-38.565513894528586,145.60359051664742
ROSEBROOK,VIC2198,-38.35292519041421,142.26373205384618
IRREWILLIPE EAST,VIC1237,-38.42050998454545,143.4799831081818
ROSEBUD,VIC2199,-38.36345280895486,144.90974074597418
WEDDERBURN,VIC2737,-36.41211671790477,143.59521078128572
BULDAH,VIC378,-37.30381618664672,149.1000402140718
COCOROC,VIC598,-37.98922354875312,144.62133127916047
WHIPSTICK,VIC2770,-36.65278066634616,144.27988092615382
RIACHELLA,VIC2163,-36.832954799599996,142.71851791999998
NELSE,VIC1909,-36.81333723537501,147.357375576625
KENMARE,VIC1318,-35.9302152811111,142.1939562888889
WILLENABRINA,VIC2793,-36.04616849710526,142.22130624842103
